"Laufende
Nummer";Hierachie;A;B;HMG000_A;HMG000_B;Label A;Label B;Syntax bei DummyCoding;
16;2;261;267;HMG261;HMG267;Chronisch myeloische Leukämie und andere nicht-akute Leukämien mit Tyrosinkinase-Inhibitoren;Morbus Hodgkin, Histiozytose;"IF HMG261=1 THEN HMG267=0;";
17;2;262;263;HMG262;HMG263;Akute myeloische Leukämie;Akute lymphatische Leukämie, Erythroleukämie, Mastzellenleukämie, Multiples Myelom / Plasmozytom;"IF HMG262=1 THEN HMG263=0;";
18;2;262;264;HMG262;HMG264;Akute myeloische Leukämie;Chronisch myeloische Leukämie und andere nicht-akute Leukämien ohne Tyrosinkinase-Inhibitoren;"IF HMG262=1 THEN HMG264=0;";
19;2;262;265;HMG262;HMG265;Akute myeloische Leukämie;Non-Hodgkin-Lymphom;"IF HMG262=1 THEN HMG265=0;";
20;2;262;266;HMG262;HMG266;Akute myeloische Leukämie;Chronisch lymphatische Leukämie, Leukämie durch unspezifizierte Zellen, chronisch myeloproliferative Krankheit ;"IF HMG262=1 THEN HMG266=0;";
21;2;262;267;HMG262;HMG267;Akute myeloische Leukämie;Morbus Hodgkin, Histiozytose;"IF HMG262=1 THEN HMG267=0;";
22;2;263;264;HMG263;HMG264;Akute lymphatische Leukämie, Erythroleukämie, Mastzellenleukämie, Multiples Myelom / Plasmozytom;Chronisch myeloische Leukämie und andere nicht-akute Leukämien ohne Tyrosinkinase-Inhibitoren;"IF HMG263=1 THEN HMG264=0;";
23;2;263;265;HMG263;HMG265;Akute lymphatische Leukämie, Erythroleukämie, Mastzellenleukämie, Multiples Myelom / Plasmozytom;Non-Hodgkin-Lymphom;"IF HMG263=1 THEN HMG265=0;";
24;2;263;266;HMG263;HMG266;Akute lymphatische Leukämie, Erythroleukämie, Mastzellenleukämie, Multiples Myelom / Plasmozytom;Chronisch lymphatische Leukämie, Leukämie durch unspezifizierte Zellen, chronisch myeloproliferative Krankheit ;"IF HMG263=1 THEN HMG266=0;";
25;2;263;267;HMG263;HMG267;Akute lymphatische Leukämie, Erythroleukämie, Mastzellenleukämie, Multiples Myelom / Plasmozytom;Morbus Hodgkin, Histiozytose;"IF HMG263=1 THEN HMG267=0;";
26;2;264;265;HMG264;HMG265;Chronisch myeloische Leukämie und andere nicht-akute Leukämien ohne Tyrosinkinase-Inhibitoren;Non-Hodgkin-Lymphom;"IF HMG264=1 THEN HMG265=0;";
27;2;264;266;HMG264;HMG266;Chronisch myeloische Leukämie und andere nicht-akute Leukämien ohne Tyrosinkinase-Inhibitoren;Chronisch lymphatische Leukämie, Leukämie durch unspezifizierte Zellen, chronisch myeloproliferative Krankheit ;"IF HMG264=1 THEN HMG266=0;";
28;2;264;267;HMG264;HMG267;Chronisch myeloische Leukämie und andere nicht-akute Leukämien ohne Tyrosinkinase-Inhibitoren;Morbus Hodgkin, Histiozytose;"IF HMG264=1 THEN HMG267=0;";
29;2;265;266;HMG265;HMG266;Non-Hodgkin-Lymphom;Chronisch lymphatische Leukämie, Leukämie durch unspezifizierte Zellen, chronisch myeloproliferative Krankheit ;"IF HMG265=1 THEN HMG266=0;";
30;2;265;267;HMG265;HMG267;Non-Hodgkin-Lymphom;Morbus Hodgkin, Histiozytose;"IF HMG265=1 THEN HMG267=0;";
31;2;266;267;HMG266;HMG267;Chronisch lymphatische Leukämie, Leukämie durch unspezifizierte Zellen, chronisch myeloproliferative Krankheit ;Morbus Hodgkin, Histiozytose;"IF HMG266=1 THEN HMG267=0;";
32;2;268;269;HMG268;HMG269;Lungenmetastasen, Metastasen der Verdauungsorgane, Tumorlyse-Syndrom;Metastasen sonstiger Lokalisation;"IF HMG268=1 THEN HMG269=0;";
33;2;268;270;HMG268;HMG270;Lungenmetastasen, Metastasen der Verdauungsorgane, Tumorlyse-Syndrom;Lymphknotenmetastasen;"IF HMG268=1 THEN HMG270=0;";
34;2;268;271;HMG268;HMG271;Lungenmetastasen, Metastasen der Verdauungsorgane, Tumorlyse-Syndrom;Bösartige Neubildung der Leber, des Pankreas sowie des ZNS;"IF HMG268=1 THEN HMG271=0;";
35;2;268;272;HMG268;HMG272;Lungenmetastasen, Metastasen der Verdauungsorgane, Tumorlyse-Syndrom;Bösartige Neubildung des Ösophagus, Dünndarms, Peritoneums und Retroperitoneums, der Gallenblase, der Gallengänge;"IF HMG268=1 THEN HMG272=0;";
36;2;268;273;HMG268;HMG273;Lungenmetastasen, Metastasen der Verdauungsorgane, Tumorlyse-Syndrom;Bösartige Neubildung des Pharynx, Larynx, der Luftröhre, Bronchien, Lunge, Pleura, des Stütz- und Bindegewebes sowie der Mamma (Alter < 45 Jahre);"IF HMG268=1 THEN HMG273=0;";
37;2;268;274;HMG268;HMG274;Lungenmetastasen, Metastasen der Verdauungsorgane, Tumorlyse-Syndrom;Bösartige Neubildung des Mundes / der Zunge  / des Rektums;"IF HMG268=1 THEN HMG274=0;";
38;2;268;275;HMG268;HMG275;Lungenmetastasen, Metastasen der Verdauungsorgane, Tumorlyse-Syndrom;Bösartige Neubildung des Magens, der Nebennieren, weitere intrathorakale bösartige Neubildungen der Atemwege, Neubildung unklarer Dignität des ZNS;"IF HMG268=1 THEN HMG275=0;";
39;2;268;276;HMG268;HMG276;Lungenmetastasen, Metastasen der Verdauungsorgane, Tumorlyse-Syndrom;Bösartige Neubildung der Harnwege, Haut, Zervix, Ovarien und spezifische Neubildungen unklarer Dignität, Kaposi-Sarkom;"IF HMG268=1 THEN HMG276=0;";
40;2;268;277;HMG268;HMG277;Lungenmetastasen, Metastasen der Verdauungsorgane, Tumorlyse-Syndrom;Bösartige Neubildung der Prostata, des Kolons und multipler oder nicht näher bezeichneter Lokalisationen ;"IF HMG268=1 THEN HMG277=0;";
41;2;268;278;HMG268;HMG278;Lungenmetastasen, Metastasen der Verdauungsorgane, Tumorlyse-Syndrom;Bösartige Neubildung der Niere, männlichen Geschlechtsorgane sowie ungenau bezeichneter Lokalisation ;"IF HMG268=1 THEN HMG278=0;";
42;2;268;279;HMG268;HMG279;Lungenmetastasen, Metastasen der Verdauungsorgane, Tumorlyse-Syndrom;Bösartige Neubildung der Gebärmutter des Auges sowie Neubildungen unklarer Dignität unterschiedlicher Lokalisationen;"IF HMG268=1 THEN HMG279=0;";
43;2;268;280;HMG268;HMG280;Lungenmetastasen, Metastasen der Verdauungsorgane, Tumorlyse-Syndrom;Neubildung unklarer Dignität der Haut;"IF HMG268=1 THEN HMG280=0;";
44;2;269;270;HMG269;HMG270;Metastasen sonstiger Lokalisation;Lymphknotenmetastasen;"IF HMG269=1 THEN HMG270=0;";
45;2;269;271;HMG269;HMG271;Metastasen sonstiger Lokalisation;Bösartige Neubildung der Leber, des Pankreas sowie des ZNS;"IF HMG269=1 THEN HMG271=0;";
46;2;269;272;HMG269;HMG272;Metastasen sonstiger Lokalisation;Bösartige Neubildung des Ösophagus, Dünndarms, Peritoneums und Retroperitoneums, der Gallenblase, der Gallengänge;"IF HMG269=1 THEN HMG272=0;";
47;2;269;273;HMG269;HMG273;Metastasen sonstiger Lokalisation;Bösartige Neubildung des Pharynx, Larynx, der Luftröhre, Bronchien, Lunge, Pleura, des Stütz- und Bindegewebes sowie der Mamma (Alter < 45 Jahre);"IF HMG269=1 THEN HMG273=0;";
48;2;269;274;HMG269;HMG274;Metastasen sonstiger Lokalisation;Bösartige Neubildung des Mundes / der Zunge  / des Rektums;"IF HMG269=1 THEN HMG274=0;";
49;2;269;275;HMG269;HMG275;Metastasen sonstiger Lokalisation;Bösartige Neubildung des Magens, der Nebennieren, weitere intrathorakale bösartige Neubildungen der Atemwege, Neubildung unklarer Dignität des ZNS;"IF HMG269=1 THEN HMG275=0;";
50;2;269;276;HMG269;HMG276;Metastasen sonstiger Lokalisation;Bösartige Neubildung der Harnwege, Haut, Zervix, Ovarien und spezifische Neubildungen unklarer Dignität, Kaposi-Sarkom;"IF HMG269=1 THEN HMG276=0;";
51;2;269;277;HMG269;HMG277;Metastasen sonstiger Lokalisation;Bösartige Neubildung der Prostata, des Kolons und multipler oder nicht näher bezeichneter Lokalisationen ;"IF HMG269=1 THEN HMG277=0;";
52;2;269;278;HMG269;HMG278;Metastasen sonstiger Lokalisation;Bösartige Neubildung der Niere, männlichen Geschlechtsorgane sowie ungenau bezeichneter Lokalisation ;"IF HMG269=1 THEN HMG278=0;";
53;2;269;279;HMG269;HMG279;Metastasen sonstiger Lokalisation;Bösartige Neubildung der Gebärmutter des Auges sowie Neubildungen unklarer Dignität unterschiedlicher Lokalisationen;"IF HMG269=1 THEN HMG279=0;";
54;2;269;280;HMG269;HMG280;Metastasen sonstiger Lokalisation;Neubildung unklarer Dignität der Haut;"IF HMG269=1 THEN HMG280=0;";
55;2;270;271;HMG270;HMG271;Lymphknotenmetastasen;Bösartige Neubildung der Leber, des Pankreas sowie des ZNS;"IF HMG270=1 THEN HMG271=0;";
56;2;270;272;HMG270;HMG272;Lymphknotenmetastasen;Bösartige Neubildung des Ösophagus, Dünndarms, Peritoneums und Retroperitoneums, der Gallenblase, der Gallengänge;"IF HMG270=1 THEN HMG272=0;";
57;2;270;273;HMG270;HMG273;Lymphknotenmetastasen;Bösartige Neubildung des Pharynx, Larynx, der Luftröhre, Bronchien, Lunge, Pleura, des Stütz- und Bindegewebes sowie der Mamma (Alter < 45 Jahre);"IF HMG270=1 THEN HMG273=0;";
58;2;270;274;HMG270;HMG274;Lymphknotenmetastasen;Bösartige Neubildung des Mundes / der Zunge  / des Rektums;"IF HMG270=1 THEN HMG274=0;";
59;2;270;275;HMG270;HMG275;Lymphknotenmetastasen;Bösartige Neubildung des Magens, der Nebennieren, weitere intrathorakale bösartige Neubildungen der Atemwege, Neubildung unklarer Dignität des ZNS;"IF HMG270=1 THEN HMG275=0;";
60;2;270;276;HMG270;HMG276;Lymphknotenmetastasen;Bösartige Neubildung der Harnwege, Haut, Zervix, Ovarien und spezifische Neubildungen unklarer Dignität, Kaposi-Sarkom;"IF HMG270=1 THEN HMG276=0;";
61;2;270;277;HMG270;HMG277;Lymphknotenmetastasen;Bösartige Neubildung der Prostata, des Kolons und multipler oder nicht näher bezeichneter Lokalisationen ;"IF HMG270=1 THEN HMG277=0;";
62;2;270;278;HMG270;HMG278;Lymphknotenmetastasen;Bösartige Neubildung der Niere, männlichen Geschlechtsorgane sowie ungenau bezeichneter Lokalisation ;"IF HMG270=1 THEN HMG278=0;";
63;2;270;279;HMG270;HMG279;Lymphknotenmetastasen;Bösartige Neubildung der Gebärmutter des Auges sowie Neubildungen unklarer Dignität unterschiedlicher Lokalisationen;"IF HMG270=1 THEN HMG279=0;";
64;2;270;280;HMG270;HMG280;Lymphknotenmetastasen;Neubildung unklarer Dignität der Haut;"IF HMG270=1 THEN HMG280=0;";
65;2;271;272;HMG271;HMG272;Bösartige Neubildung der Leber, des Pankreas sowie des ZNS;Bösartige Neubildung des Ösophagus, Dünndarms, Peritoneums und Retroperitoneums, der Gallenblase, der Gallengänge;"IF HMG271=1 THEN HMG272=0;";
66;2;271;273;HMG271;HMG273;Bösartige Neubildung der Leber, des Pankreas sowie des ZNS;Bösartige Neubildung des Pharynx, Larynx, der Luftröhre, Bronchien, Lunge, Pleura, des Stütz- und Bindegewebes sowie der Mamma (Alter < 45 Jahre);"IF HMG271=1 THEN HMG273=0;";
67;2;271;274;HMG271;HMG274;Bösartige Neubildung der Leber, des Pankreas sowie des ZNS;Bösartige Neubildung des Mundes / der Zunge  / des Rektums;"IF HMG271=1 THEN HMG274=0;";
68;2;271;275;HMG271;HMG275;Bösartige Neubildung der Leber, des Pankreas sowie des ZNS;Bösartige Neubildung des Magens, der Nebennieren, weitere intrathorakale bösartige Neubildungen der Atemwege, Neubildung unklarer Dignität des ZNS;"IF HMG271=1 THEN HMG275=0;";
69;2;271;276;HMG271;HMG276;Bösartige Neubildung der Leber, des Pankreas sowie des ZNS;Bösartige Neubildung der Harnwege, Haut, Zervix, Ovarien und spezifische Neubildungen unklarer Dignität, Kaposi-Sarkom;"IF HMG271=1 THEN HMG276=0;";
70;2;271;277;HMG271;HMG277;Bösartige Neubildung der Leber, des Pankreas sowie des ZNS;Bösartige Neubildung der Prostata, des Kolons und multipler oder nicht näher bezeichneter Lokalisationen ;"IF HMG271=1 THEN HMG277=0;";
71;2;271;278;HMG271;HMG278;Bösartige Neubildung der Leber, des Pankreas sowie des ZNS;Bösartige Neubildung der Niere, männlichen Geschlechtsorgane sowie ungenau bezeichneter Lokalisation ;"IF HMG271=1 THEN HMG278=0;";
72;2;271;279;HMG271;HMG279;Bösartige Neubildung der Leber, des Pankreas sowie des ZNS;Bösartige Neubildung der Gebärmutter des Auges sowie Neubildungen unklarer Dignität unterschiedlicher Lokalisationen;"IF HMG271=1 THEN HMG279=0;";
73;2;271;280;HMG271;HMG280;Bösartige Neubildung der Leber, des Pankreas sowie des ZNS;Neubildung unklarer Dignität der Haut;"IF HMG271=1 THEN HMG280=0;";
74;2;272;273;HMG272;HMG273;Bösartige Neubildung des Ösophagus, Dünndarms, Peritoneums und Retroperitoneums, der Gallenblase, der Gallengänge;Bösartige Neubildung des Pharynx, Larynx, der Luftröhre, Bronchien, Lunge, Pleura, des Stütz- und Bindegewebes sowie der Mamma (Alter < 45 Jahre);"IF HMG272=1 THEN HMG273=0;";
75;2;272;274;HMG272;HMG274;Bösartige Neubildung des Ösophagus, Dünndarms, Peritoneums und Retroperitoneums, der Gallenblase, der Gallengänge;Bösartige Neubildung des Mundes / der Zunge  / des Rektums;"IF HMG272=1 THEN HMG274=0;";
76;2;272;275;HMG272;HMG275;Bösartige Neubildung des Ösophagus, Dünndarms, Peritoneums und Retroperitoneums, der Gallenblase, der Gallengänge;Bösartige Neubildung des Magens, der Nebennieren, weitere intrathorakale bösartige Neubildungen der Atemwege, Neubildung unklarer Dignität des ZNS;"IF HMG272=1 THEN HMG275=0;";
77;2;272;276;HMG272;HMG276;Bösartige Neubildung des Ösophagus, Dünndarms, Peritoneums und Retroperitoneums, der Gallenblase, der Gallengänge;Bösartige Neubildung der Harnwege, Haut, Zervix, Ovarien und spezifische Neubildungen unklarer Dignität, Kaposi-Sarkom;"IF HMG272=1 THEN HMG276=0;";
78;2;272;277;HMG272;HMG277;Bösartige Neubildung des Ösophagus, Dünndarms, Peritoneums und Retroperitoneums, der Gallenblase, der Gallengänge;Bösartige Neubildung der Prostata, des Kolons und multipler oder nicht näher bezeichneter Lokalisationen ;"IF HMG272=1 THEN HMG277=0;";
79;2;272;278;HMG272;HMG278;Bösartige Neubildung des Ösophagus, Dünndarms, Peritoneums und Retroperitoneums, der Gallenblase, der Gallengänge;Bösartige Neubildung der Niere, männlichen Geschlechtsorgane sowie ungenau bezeichneter Lokalisation ;"IF HMG272=1 THEN HMG278=0;";
80;2;272;279;HMG272;HMG279;Bösartige Neubildung des Ösophagus, Dünndarms, Peritoneums und Retroperitoneums, der Gallenblase, der Gallengänge;Bösartige Neubildung der Gebärmutter des Auges sowie Neubildungen unklarer Dignität unterschiedlicher Lokalisationen;"IF HMG272=1 THEN HMG279=0;";
81;2;272;280;HMG272;HMG280;Bösartige Neubildung des Ösophagus, Dünndarms, Peritoneums und Retroperitoneums, der Gallenblase, der Gallengänge;Neubildung unklarer Dignität der Haut;"IF HMG272=1 THEN HMG280=0;";
82;2;273;274;HMG273;HMG274;Bösartige Neubildung des Pharynx, Larynx, der Luftröhre, Bronchien, Lunge, Pleura, des Stütz- und Bindegewebes sowie der Mamma (Alter < 45 Jahre);Bösartige Neubildung des Mundes / der Zunge  / des Rektums;"IF HMG273=1 THEN HMG274=0;";
83;2;273;275;HMG273;HMG275;Bösartige Neubildung des Pharynx, Larynx, der Luftröhre, Bronchien, Lunge, Pleura, des Stütz- und Bindegewebes sowie der Mamma (Alter < 45 Jahre);Bösartige Neubildung des Magens, der Nebennieren, weitere intrathorakale bösartige Neubildungen der Atemwege, Neubildung unklarer Dignität des ZNS;"IF HMG273=1 THEN HMG275=0;";
84;2;273;276;HMG273;HMG276;Bösartige Neubildung des Pharynx, Larynx, der Luftröhre, Bronchien, Lunge, Pleura, des Stütz- und Bindegewebes sowie der Mamma (Alter < 45 Jahre);Bösartige Neubildung der Harnwege, Haut, Zervix, Ovarien und spezifische Neubildungen unklarer Dignität, Kaposi-Sarkom;"IF HMG273=1 THEN HMG276=0;";
85;2;273;277;HMG273;HMG277;Bösartige Neubildung des Pharynx, Larynx, der Luftröhre, Bronchien, Lunge, Pleura, des Stütz- und Bindegewebes sowie der Mamma (Alter < 45 Jahre);Bösartige Neubildung der Prostata, des Kolons und multipler oder nicht näher bezeichneter Lokalisationen ;"IF HMG273=1 THEN HMG277=0;";
86;2;273;278;HMG273;HMG278;Bösartige Neubildung des Pharynx, Larynx, der Luftröhre, Bronchien, Lunge, Pleura, des Stütz- und Bindegewebes sowie der Mamma (Alter < 45 Jahre);Bösartige Neubildung der Niere, männlichen Geschlechtsorgane sowie ungenau bezeichneter Lokalisation ;"IF HMG273=1 THEN HMG278=0;";
87;2;273;279;HMG273;HMG279;Bösartige Neubildung des Pharynx, Larynx, der Luftröhre, Bronchien, Lunge, Pleura, des Stütz- und Bindegewebes sowie der Mamma (Alter < 45 Jahre);Bösartige Neubildung der Gebärmutter des Auges sowie Neubildungen unklarer Dignität unterschiedlicher Lokalisationen;"IF HMG273=1 THEN HMG279=0;";
88;2;273;280;HMG273;HMG280;Bösartige Neubildung des Pharynx, Larynx, der Luftröhre, Bronchien, Lunge, Pleura, des Stütz- und Bindegewebes sowie der Mamma (Alter < 45 Jahre);Neubildung unklarer Dignität der Haut;"IF HMG273=1 THEN HMG280=0;";
89;2;274;275;HMG274;HMG275;Bösartige Neubildung des Mundes / der Zunge  / des Rektums;Bösartige Neubildung des Magens, der Nebennieren, weitere intrathorakale bösartige Neubildungen der Atemwege, Neubildung unklarer Dignität des ZNS;"IF HMG274=1 THEN HMG275=0;";
90;2;274;276;HMG274;HMG276;Bösartige Neubildung des Mundes / der Zunge  / des Rektums;Bösartige Neubildung der Harnwege, Haut, Zervix, Ovarien und spezifische Neubildungen unklarer Dignität, Kaposi-Sarkom;"IF HMG274=1 THEN HMG276=0;";
91;2;274;277;HMG274;HMG277;Bösartige Neubildung des Mundes / der Zunge  / des Rektums;Bösartige Neubildung der Prostata, des Kolons und multipler oder nicht näher bezeichneter Lokalisationen ;"IF HMG274=1 THEN HMG277=0;";
92;2;274;278;HMG274;HMG278;Bösartige Neubildung des Mundes / der Zunge  / des Rektums;Bösartige Neubildung der Niere, männlichen Geschlechtsorgane sowie ungenau bezeichneter Lokalisation ;"IF HMG274=1 THEN HMG278=0;";
93;2;274;279;HMG274;HMG279;Bösartige Neubildung des Mundes / der Zunge  / des Rektums;Bösartige Neubildung der Gebärmutter des Auges sowie Neubildungen unklarer Dignität unterschiedlicher Lokalisationen;"IF HMG274=1 THEN HMG279=0;";
94;2;274;280;HMG274;HMG280;Bösartige Neubildung des Mundes / der Zunge  / des Rektums;Neubildung unklarer Dignität der Haut;"IF HMG274=1 THEN HMG280=0;";
95;2;275;276;HMG275;HMG276;Bösartige Neubildung des Magens, der Nebennieren, weitere intrathorakale bösartige Neubildungen der Atemwege, Neubildung unklarer Dignität des ZNS;Bösartige Neubildung der Harnwege, Haut, Zervix, Ovarien und spezifische Neubildungen unklarer Dignität, Kaposi-Sarkom;"IF HMG275=1 THEN HMG276=0;";
96;2;275;277;HMG275;HMG277;Bösartige Neubildung des Magens, der Nebennieren, weitere intrathorakale bösartige Neubildungen der Atemwege, Neubildung unklarer Dignität des ZNS;Bösartige Neubildung der Prostata, des Kolons und multipler oder nicht näher bezeichneter Lokalisationen ;"IF HMG275=1 THEN HMG277=0;";
97;2;275;278;HMG275;HMG278;Bösartige Neubildung des Magens, der Nebennieren, weitere intrathorakale bösartige Neubildungen der Atemwege, Neubildung unklarer Dignität des ZNS;Bösartige Neubildung der Niere, männlichen Geschlechtsorgane sowie ungenau bezeichneter Lokalisation ;"IF HMG275=1 THEN HMG278=0;";
98;2;275;279;HMG275;HMG279;Bösartige Neubildung des Magens, der Nebennieren, weitere intrathorakale bösartige Neubildungen der Atemwege, Neubildung unklarer Dignität des ZNS;Bösartige Neubildung der Gebärmutter des Auges sowie Neubildungen unklarer Dignität unterschiedlicher Lokalisationen;"IF HMG275=1 THEN HMG279=0;";
99;2;275;280;HMG275;HMG280;Bösartige Neubildung des Magens, der Nebennieren, weitere intrathorakale bösartige Neubildungen der Atemwege, Neubildung unklarer Dignität des ZNS;Neubildung unklarer Dignität der Haut;"IF HMG275=1 THEN HMG280=0;";
100;2;276;277;HMG276;HMG277;Bösartige Neubildung der Harnwege, Haut, Zervix, Ovarien und spezifische Neubildungen unklarer Dignität, Kaposi-Sarkom;Bösartige Neubildung der Prostata, des Kolons und multipler oder nicht näher bezeichneter Lokalisationen ;"IF HMG276=1 THEN HMG277=0;";
101;2;276;278;HMG276;HMG278;Bösartige Neubildung der Harnwege, Haut, Zervix, Ovarien und spezifische Neubildungen unklarer Dignität, Kaposi-Sarkom;Bösartige Neubildung der Niere, männlichen Geschlechtsorgane sowie ungenau bezeichneter Lokalisation ;"IF HMG276=1 THEN HMG278=0;";
102;2;276;279;HMG276;HMG279;Bösartige Neubildung der Harnwege, Haut, Zervix, Ovarien und spezifische Neubildungen unklarer Dignität, Kaposi-Sarkom;Bösartige Neubildung der Gebärmutter des Auges sowie Neubildungen unklarer Dignität unterschiedlicher Lokalisationen;"IF HMG276=1 THEN HMG279=0;";
103;2;276;280;HMG276;HMG280;Bösartige Neubildung der Harnwege, Haut, Zervix, Ovarien und spezifische Neubildungen unklarer Dignität, Kaposi-Sarkom;Neubildung unklarer Dignität der Haut;"IF HMG276=1 THEN HMG280=0;";
104;2;277;278;HMG277;HMG278;Bösartige Neubildung der Prostata, des Kolons und multipler oder nicht näher bezeichneter Lokalisationen ;Bösartige Neubildung der Niere, männlichen Geschlechtsorgane sowie ungenau bezeichneter Lokalisation ;"IF HMG277=1 THEN HMG278=0;";
105;2;277;279;HMG277;HMG279;Bösartige Neubildung der Prostata, des Kolons und multipler oder nicht näher bezeichneter Lokalisationen ;Bösartige Neubildung der Gebärmutter des Auges sowie Neubildungen unklarer Dignität unterschiedlicher Lokalisationen;"IF HMG277=1 THEN HMG279=0;";
106;2;277;280;HMG277;HMG280;Bösartige Neubildung der Prostata, des Kolons und multipler oder nicht näher bezeichneter Lokalisationen ;Neubildung unklarer Dignität der Haut;"IF HMG277=1 THEN HMG280=0;";
107;2;278;279;HMG278;HMG279;Bösartige Neubildung der Niere, männlichen Geschlechtsorgane sowie ungenau bezeichneter Lokalisation ;Bösartige Neubildung der Gebärmutter des Auges sowie Neubildungen unklarer Dignität unterschiedlicher Lokalisationen;"IF HMG278=1 THEN HMG279=0;";
108;2;278;280;HMG278;HMG280;Bösartige Neubildung der Niere, männlichen Geschlechtsorgane sowie ungenau bezeichneter Lokalisation ;Neubildung unklarer Dignität der Haut;"IF HMG278=1 THEN HMG280=0;";
109;2;279;280;HMG279;HMG280;Bösartige Neubildung der Gebärmutter des Auges sowie Neubildungen unklarer Dignität unterschiedlicher Lokalisationen;Neubildung unklarer Dignität der Haut;"IF HMG279=1 THEN HMG280=0;";
110;3;15;16;HMG015;HMG016;Diabetes mit renalen oder multiplen Manifestationen;Diabetes mit peripheren zirkulatorischen  Manifestationen oder Ketoazidose;"IF HMG015=1 THEN HMG016=0;";
111;3;15;17;HMG015;HMG017;Diabetes mit renalen oder multiplen Manifestationen;Diabetes mit sonstigen Komplikationen;"IF HMG015=1 THEN HMG017=0;";
112;3;15;19;HMG015;HMG019;Diabetes mit renalen oder multiplen Manifestationen;Diabetes ohne oder mit nicht näher bezeichneten Komplikationen;"IF HMG015=1 THEN HMG019=0;";
113;3;16;17;HMG016;HMG017;Diabetes mit peripheren zirkulatorischen  Manifestationen oder Ketoazidose;Diabetes mit sonstigen Komplikationen;"IF HMG016=1 THEN HMG017=0;";
114;3;16;19;HMG016;HMG019;Diabetes mit peripheren zirkulatorischen  Manifestationen oder Ketoazidose;Diabetes ohne oder mit nicht näher bezeichneten Komplikationen;"IF HMG016=1 THEN HMG019=0;";
115;3;17;19;HMG017;HMG019;Diabetes mit sonstigen Komplikationen;Diabetes ohne oder mit nicht näher bezeichneten Komplikationen;"IF HMG017=1 THEN HMG019=0;";
116;4;21;22;HMG021;HMG022;Hypopituitarismus ohne ERT/SRT, Phenylketonurie, Störungen des Plasmaprotein-Stoffwechsels, anderenorts nicht klassifiziert;Cushing Syndrom, Amyloidose;"IF HMG021=1 THEN HMG022=0;";
